시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,점포구분명
고양시,포리치,19980613,,1,정상영업,,919-5857,7733,,경기도 고양시 일산서구 중앙로 1376 (주엽동),경기도 고양시일산서구 주엽동 75번지,411370,37.6673210,126.7670186,그 밖의 대규모점포,179379.074360347    ,462805.739928927    ,
고양시,이케아 고양점,2016-10-28,,1,정상영업,,02-310-8700,25226.79,10551,"경기도 고양시 덕양구 권율대로 420 (도내동, 이케아고양점)",경기도 고양시 덕양구 도내동 1003번지,10551,37.6295877482,126.8631057368,전문점,187849.01957446     ,458589.280565554    ,대규모점포
고양시,홈플러스(주) 고양터미널점,2011-06-15,,1,정상영업,,031-960-8264,18422.06,410-816,경기도 고양시 일산동구 중앙로 1036-0 (백석동),경기도 고양시 일산동구 백석동 1242번지,410-816,37.6431934574,126.7897203592,대형마트,181369.967204096    ,460117.354561195    ,대규모점포
고양시,롯데쇼핑(주) 롯데마트 주엽점,2000-01-10,,1,정상영업,,"910-3312,3315,3323",9665,411-748,"경기도 고양시 일산서구 중앙로 1496 (주엽동, 문촌마을11단지아파트)",경기도 고양시일산서구 주엽동 15호,10379,37.6731569387,126.7552122529,대형마트,178348.883331191    ,463464.183725362    ,대규모점포
고양시,현대백화점 킨텍스점,2010-07-13,,1,정상영업,,031 822 2233,37832.73,10391,경기도 고양시 일산서구 호수로 817 (대화동),경기도 고양시 일산서구 대화동 2602번지,10391,37.6679786706,126.7516242854,백화점,178006.080301401    ,462865.812502378    ,대규모점포
고양시,뉴삼창마트,19961231,,1,정상영업,,031 9037888,5768.57,,,"경기도 고양시일산동구 마두동 802,3호",10414,,,그 밖의 대규모점포,,,대규모점포
고양시,두진레이크,20150306,,1,정상영업,,031 912 6011,4162,411742,경기도 고양시 일산서구 중앙로 1391-0 (주엽동),경기도 고양시 일산서구 주엽동 83번지,412290,37.6677395,126.7645465,그 밖의 대규모점포,179162.766413313    ,462851.25056701     ,대규모점포
고양시,일산시장,19811020,,1,정상영업,,975-3903,0,,경기도 고양시 일산서구 일청로12번길 9 (일산동),경기도 고양시일산서구 일산동 617-20호,10342,37.6856543,126.7708718,시장,,,
고양시,홈플러스(주) 일산점,2007-09-11,,1,정상영업,,031-926-8035,12885,410-837,경기도 고양시 일산동구 중앙로1275번길 64 (장항동),경기도 고양시 일산동구 장항동 755번지,410-837,37.6590645766,126.7688671725,대형마트,179536.212704008    ,461876.531597015    ,대규모점포
고양시,e-편한세상 시티 삼송(World Avenue),20180410,,1,정상영업,,031-782-3752,11120.34,10595,경기도 고양시 덕양구 동송로 33 (동산동),경기도 고양시 덕양구 동산동 369번지,10595,37.6495255,126.8964231,그 밖의 대규모점포,190793.816366137    ,460809.288799795    ,대규모점포
고양시,유니코(UNICO),19941011,,1,정상영업,,0344 9001201,6360.45,,경기도 고양시 일산동구 중앙로 1124 (백석동),경기도 고양시일산동구 백석동 1194호,10421,37.6478809,126.7823999,그 밖의 대규모점포,180731.148172095    ,460645.088503364    ,대규모점포
고양시,대우로얄마트,19960524,,1,정상영업,,905-4051,7133.47,,경기도 고양시 일산동구 중앙로 1129 (장항동),경기도 고양시일산동구 장항동 902호,10422,37.6488301,126.7792923,그 밖의 대규모점포,180458.844874681    ,460748.278360947    ,
고양시,태영프라자,19920701,,1,정상영업,,031 9154147,2634.86,411848,경기도 고양시 일산서구 중앙로 1388 (주엽동),경기도 고양시 일산서구 주엽동 73번지,411848,37.6685431,126.7654053,그 밖의 대규모점포,179238.725261115    ,462941.223697841    ,대규모점포
고양시,힐스몰,20190604,,1,정상영업,,02-381-8036,7989.5,10591,경기도 고양시 덕양구 동송로 70 (삼송동),경기도 고양시 덕양구 삼송동 291번지,10591,37.6524252132,126.8969766222,그 밖의 대규모점포,190814.230280765    ,461119.453768538    ,대규모점포
고양시,(주)이마트에브리데이 탄현역점,2013-05-30,,1,정상영업,,031-724-7081,1775.01,411-320,"경기도 고양시 일산서구 일현로 97-11 (탄현동, 위브더제니스 스퀘어)",경기도 고양시 일산서구 탄현동 1640번지 위브더제니스 스퀘어,411-320,37.6952287066,126.7635780487,구분없음,179005.665068939    ,465786.029740427    ,준대규모점포
고양시,세이브존,1998-09-24,,1,정상영업,,031-978-9000,13513.27,10500,"경기도 고양시 덕양구 화정로 52, 세이브존 (화정동)",경기도 고양시 덕양구 화정동 970번지 세이브존,10500,37.6343605119,126.8313761507,그 밖의 대규모점포,185048.426384758    ,459123.51978397     ,대규모점포
고양시,롯데쇼핑(주) 롯데슈퍼일산점,2012-03-26,,1,정상영업,,031-976-5600,1119.2,410-831,경기도 고양시 일산동구 고봉로 250 (중산동),경기도 고양시 일산동구 중산동 1669번지 3호,410-831,37.6816119593,126.7785124016,구분없음,180396.246472763    ,464432.961173643    ,준대규모점포
고양시,홈플러스(주) 익스프레스 고양토당점,2013-06-04,,1,정상영업,,031-978-8560,302.3,412-821,경기도 고양시 덕양구 지도로35번길 12-3 (토당동),경기도 고양시 덕양구 토당동 387번지 1호,412-818,37.6207518696,126.8237246006,구분없음,184353.219963187    ,457627.740291999    ,준대규모점포
고양시,웨스턴돔,20070416,,1,정상영업,,031 9328408,32905.73,,경기도 고양시 일산동구 정발산로 24 (장항동),경기도 고양시일산동구 장항동 867호,10403,37.6557984,126.7719280,쇼핑센터,179810.178969729    ,461526.164368873    ,
고양시,홈플러스(주) 익스프레스 후곡점,2012-03-29,,1,정상영업,,031-913-8545,320.4,411-827,"경기도 고양시 일산서구 일산로 530, 1층 4호 (일산동)",경기도 고양시 일산서구 일산3동 1080번지 모아프라자  104호,411-827,37.6774980239,126.7690945560,구분없음,179561.662632651    ,463924.147534329    ,준대규모점포
고양시,코스트코 홀세일 일산점,20080102,,1,정상영업,,031-904-3300,14989,,경기도 고양시 일산동구 장백로 25 (백석동),경기도 고양시일산동구 백석동 1312번지,410360,37.6407745,126.7885164,대형마트,181269.282136063    ,459854.286250466    ,대규모점포
고양시,대우로얄마트,19960524,,1,정상영업,,031-905-4501,4026,10422,"경기도 고양시 일산동구 중앙로 1129 (장항동, 호수마을1단지아파트)",경기도 고양시 일산동구 장항동 902번지,10422,37.6488301,126.7792923,그 밖의 대규모점포,180458.844874681    ,460748.278360947    ,대규모점포
과천시,GS THE FRESH 과천자이점,2022-01-06,,1,정상영업,,022062678,370.2,13833,"경기도 과천시 별양로 142, 131~144호 (별양동)",경기도 과천시 별양동 52,13833,37.4303229148,126.9989965421,그 밖의 대규모점포,,,준대규모점포
과천시,(주)지에스리테일 과천3점,2012-05-21,,1,정상영업,,0269337200,1021.67,427-739,경기도 과천시 별양로 28 (원문동),경기도 과천시 원문동 4번지 래미안슈르 상가 지하 1층,427-739,37.4212219530,126.9912252368,그 밖의 대규모점포,199247.7714676      ,435394.603870331    ,준대규모점포
과천시,새서울프라자,1998-02-06,,1,정상영업,,02 5035911,0,,경기도 과천시 별양상가2로 20 (별양동),경기도 과천시 별양동 1번지 18호,13837,37.4268251693,126.9925549060,그 밖의 대규모점포,199271.515          ,436077.66           ,대규모점포
과천시,과천3차현대종합상가,19890303,,1,정상영업,,02 5022910,,,,경기도 과천시 별양동 52호   ,13833,37.4282189,126.9986113,그 밖의 대규모점포,199812.128563146    ,436237.650810359    ,
과천시,과천2차종합상가,19890404,,1,정상영업,,02 5020223,,,,경기도 과천시 원문동 4호   ,13835,37.4205780,126.9922516,그 밖의 대규모점포,199247.946796833    ,435394.511194376    ,
과천시,이마트과천점,2015-03-17,,1,정상영업,,02-380-9396,9798,427-800,경기도 과천시 별양상가3로 11-0 (별양동),경기도 과천시 별양동 1-19번지,13837,37.4262633755,126.9918692595,복합쇼핑몰,199209.021144538    ,436019.965418918    ,대규모점포
광명시,이케아 광명점,2014-07-25,,1,정상영업,,02-310-8700,27668.48,423-090,경기도 광명시 일직로 17 (일직동),경기도 광명시 일직동 500번지,14352,37.4242749767,126.8827963758,전문점,,,대규모점포
광명시,골든힐시장,19920511,,1,정상영업,,0280911114,,,경기도 광명시 범안로 1056 (하안동),경기도 광명시 하안동 53번지 1   호   ,14306,37.4623483,126.8802091,그 밖의 대규모점포,,,
광명시,(주)이마트에브리데이 광명점,2024-05-31,,1,정상영업,,2067-8784,1279.03,423-010,경기도 광명시 오리로 970 (광명동),경기도 광명시 광명3동 150번지 19호 광명크로앙스 지하 2층,423-808,37.4794646202,126.8556619346,구분없음,187160.874188076    ,441928.353304808    ,준대규모점포
광명시,(주) 이마트 광명소하점,2023-07-03,,1,정상영업,,02-6918-1234,14847.87,423-051,경기도 광명시 소하로 97 (소하동),경기도 광명시 소하1동 1339번지 3호,423-051,37.4465293847,126.8844789638,대형마트,189714.449800306    ,438279.937828733    ,대규모점포
광명시,광명한진타운시장,20040412,,1,정상영업,,2689-9232,6014.2,423704,경기도 광명시 광명로 877 (광명동),경기도 광명시 광명4동 200번지 6호,423704,37.4776778,126.8521013,그 밖의 대규모점포,186852.342575003    ,441740.296281231    ,대규모점포
광명시,크로앙스,20040903,,1,정상영업,,02-2067-8000,7765.32,423013,경기도 광명시 오리로 970 (광명동),경기도 광명시 광명동 150번지 19호,14220,37.4793760,126.8555688,그 밖의 대규모점포,187160.878836654    ,441928.35248108     ,대규모점포
광명시,롯데몰 광명점,2014-11-26,,1,정상영업,,02-771-2500,39420.7,423-090,경기도 광명시 일직로 17 (일직동),경기도 광명시 일직동 500번지,423-090,37.4242749767,126.8827963758,쇼핑센터,189614.445095321    ,435789.264012576    ,대규모점포
광명시,뉴코아 아울렛 광명점,2006-01-11,,1,정상영업,,02-3397-2500,13047.87,423-848,경기도 광명시 하안로287번길 8 (하안동),경기도 광명시 하안동 38호,14305,37.4611586121,126.8793385524,복합쇼핑몰,189263.01222247     ,439900.832910796    ,대규모점포
광명시,광명시장,19701221,,1,정상영업,,0226140006,0,,경기도 광명시 오리로 974,경기도 광명시 광명동 150번지 17  호,14220,37.4794836811,126.8551503054,그 밖의 대규모점포,187121.814096632    ,441941.71901327     ,준대규모점포
광명시,GS THE FRESH 광명철산점,2022-05-11,,1,정상영업,,,234.98,14233,"경기도 광명시 시청로 50, 상가 B동 1층 101~103호 (철산동)",경기도 광명시 철산동 233,14233,37.4786574750,126.8680986490,구분없음,188145.916679287    ,441940.56958837     ,준대규모점포
광명시,에이케이플라자(주) 광명점,2021-03-05,,1,정상영업,,070-4770-0796,28985.96,14345,경기도 광명시 양지로 17(일직동),경기도 광명시 일직동 512-3,14345,37.4186779767,126.8828875175,쇼핑센터,189541.850018502    ,435187.738812827    ,대규모점포
광명시,GS THE FRESH 광명트리우스점,2025-05-19,,1,정상영업,,02-2060-6285,174.48,14206,"경기도 광명시 광이로 96, 상기2동 101,102,103호 (광명동, 트리우스 광명)",경기도 광명시 광명동 12-2 트리우스 광명,14206,37.4851265742,126.8609068855,구분없음,187542.398118807    ,442685.966005291    ,준대규모점포
광명시,GS THE FRESH 광명점,2014-09-11,,1,정상영업,,02-2685-4589,273.9,14280,"경기도 광명시 도덕로 33, 유.자.인.주상복합아파트 1층 (광명동)",경기도 광명시 광명동 739-8 유.자.인.주상복합아파트,14280,37.4685627561,126.8515487368,구분없음,186812.038869952    ,440726.972343729    ,준대규모점포
광명시,코스트코 홀세일 광명점,20111017,,1,정상영업,,02-2083-3723,13736.11,423052,"경기도 광명시 일직로 40 (일직동, costco 광명점)",경기도 광명시 일직동 163번지 3호,423090,37.4206292,126.8864001,대형마트,189879.016911221    ,435405.506505777    ,대규모점포
광명시,철산중앙시장,20050310,,1,정상영업,,02  26878624,0,,,경기도 광명시 철산동 440호,14239,37.4747894,126.8703195,그 밖의 대규모점포,188462.902581502    ,441418.706981087    ,
광명시,세이브존 광명점,2002-10-23,,1,정상영업,,02-6332-9000,9403,14243,"경기도 광명시 철망산로 87 (철산동, 세이브존)",경기도 광명시 철산동 367번지,14243,37.4703331155,126.8773741251,쇼핑센터,189007.530744206    ,441119.378939224    ,대규모점포
광명시,철산중앙시장,2007-07-06,,1,정상영업,,02-2060-5966,3779.85,14239,"경기도 광명시 철산로30번길 19, 중앙시장 (철산동)",경기도 광명시 철산동 440 중앙시장,14239,37.4747579612,126.8704160020,그 밖의 대규모점포,188464.627805727    ,441403.83267633     ,대규모점포
광명시,홈플러스 익스프레스 광명점,2014-09-11,,1,정상영업,,02-2060-8545,196.36,423-819,경기도 광명시 도덕로 28 (광명동),경기도 광명시 광명동 738번지,14282,37.4681094300,126.8510663876,구분없음,186757.059003378    ,440665.313322961    ,준대규모점포
광주시,(주) 이마트 경기광주점,2009-09-11,,1,정상영업,,80261052,6673.32,464-010,경기도 광주시 광주대로 30 (경안동),경기도 광주시 경안동 20번지 46호,464-801,37.4095555385,127.2612452109,대형마트,223061.389182349    ,434193.70905707     ,대규모점포
광주시,광주터미널이프라자,20090923,,1,정상영업,,031-799-7991,3977.2,464010,경기도 광주시 광주대로 30 (경안동),경기도 광주시 경안동 25번지 3호,464801,37.4095555385,127.2612452109,그 밖의 대규모점포,223061.389182349    ,434193.70905707     ,대규모점포
광주시,광주 금호 리첸시아 센트럴 스퀘어,2021-11-03,,1,정상영업,,031-767-8324,11697.53,12760,경기도 광주시 경안로41번길 6(경안동),경기도 광주시 경안동 447,12760,37.4078688876,127.2563013419,그 밖의 대규모점포,222618.188936667    ,434045.266636268    ,대규모점포
광주시,(주)모다이노칩 곤지암점,2012-09-21,,1,정상영업,,762-1207,3227,464-861,경기도 광주시 초월읍 경충대로 907,경기도 광주시 초월읍 산이리 77번지 6호,464-861,37.3632989618,127.3125826104,전문점,227621.408059678    ,429073.295091928    ,대규모점포
구리시,(주)지에스리테일 GS스퀘어 구리점,19980307,,1,정상영업,,031-550-7114,24555,,경기도 구리시 경춘로 261 (인창동),경기도 구리시 인창동 677호,11922,37.6027017,127.1439490,백화점,212647.021160325    ,455616.655198478    ,
구리시,익스프레스 구리 인창점,2012-05-22,,1,정상영업,,0315658545,382.58,471-838,경기도 구리시 건원대로76번길 42 (인창동),경기도 구리시 인창동 666번지 2호,471-838,37.6075350637,127.1417084550,복합쇼핑몰,212442.947355824    ,456144.78128741     ,준대규모점포
구리시,롯데 아울렛 구리점,2013-12-31,,1,정상영업,,025578828,19936.36,11915,"경기도 구리시 동구릉로136번길 47, 구리 복합몰(롯데아울렛 구리점) (인창동)",경기도 구리시 인창동 419번지 7호 구리 복합몰(롯데아울렛 구리점),11915,37.6118669916,127.1405433074,쇼핑센터,212338.516597728    ,456623.179059563    ,대규모점포
구리시,시민마트,2021-04-06,,1,정상영업,,031-513-6001,18408.86,11915,"경기도 구리시 동구릉로136번길 57, 구리유통종합상가 할인점동 (인창동)",경기도 구리시 인창동 430 구리유통종합상가,11915,37.6131390076,127.1409110928,구분없음,212367.118425352    ,456712.576784184    ,대규모점포
구리시,시민마트,2023-12-04,,1,정상영업,,031-513-6001,18408.86,11915,"경기도 구리시 동구릉로136번길 57, 구리유통종합상가 A동 (인창동)",경기도 구리시 인창동 430 구리유통종합상가,11915,37.6131390076,127.1409110928,대형마트,212367.118425352    ,456712.576784184    ,대규모점포
구리시,롯데쇼핑(주)구리점,2012-08-14,,1,정상영업,,0315508083,30700.27,,경기도 구리시 경춘로 261 (인창동),경기도 구리시 동구동 677번지,471-040,37.6026921337,127.1437935543,백화점,212647.021160325    ,455616.655198478    ,대규모점포
구리시,남양종합시장,19880304,,1,정상영업,,031 5551486,,,,경기도 구리시 수택동 481호   ,11932,37.5963137,127.1439822,그 밖의 대규모점포,212651.42049975     ,454905.535652546    ,
구리시,구리농수산물소매시장,19990330,,1,정상영업,,031 5605121,,,경기도 구리시 동구릉로136번길 57 (인창동),경기도 구리시 인창동 430호   ,11915,37.6126971,127.1408759,그 밖의 대규모점포,212369.786160091    ,456717.132615198    ,
구리시,롯데쇼핑(주) 구리점,20100507,,1,정상영업,,550-7114,30010.78,471712,경기도 구리시 경춘로 261 (인창동),경기도 구리시 인창동 677번지  롯데스퀘어(주)구리점,471010,37.6027017,127.1439490,백화점,212647.021160325    ,455616.655198478    ,대규모점포
구리시,롯데슈퍼 교문점,2012-05-22,,1,정상영업,,031-569-5602,592.2,471-706,경기도 구리시 장자대로37번길 55 (교문동),경기도 구리시 교문동 808번지 덕현아파트,11938,37.5896916801,127.1339670576,그 밖의 대규모점포,211732.000146084    ,454218.547394414    ,준대규모점포
구리시,모다아울렛,20170926,,1,정상영업,,0315149000,21346.37,11901,"경기도 구리시 경춘북로 230 (갈매동, 구리갈매지구판매시설)",경기도 구리시 갈매동 599번지,11901,37.6333495550,127.1159252503,전문점,210176.71228254     ,458999.955062539    ,대규모점포
군포시,뉴코아아울렛 산본점,2005-10-28,,1,정상영업,,031-390-5000,11180,435-045,경기도 군포시 번영로 504 (산본동),경기도 군포시 산본동 1231번지,435-045,37.3581051820,126.9331702202,그 밖의 대규모점포,193729.872096481    ,428221.430499605    ,대규모점포
군포시,GS THE FRESH 산본프라자점,2022-10-05,,1,정상영업,,031-393-4479,347.54,15818,"경기도 군포시 산본로 394, 대림프라자 1층 111호 (산본동)",경기도 군포시 산본동 1099-2 대림프라자 111호,15818,37.3651283898,126.9297294748,구분없음,193696.742392293    ,429245.936418065    ,준대규모점포
군포시,군포송정 풍산리치안 플랫몰,20210409,,1,정상영업,,031-8003-6400,4763.86,15885,경기도 군포시 송부로96번길 12 (도마교동),경기도 군포시 도마교동 478,15885,37.3157306621,126.9237038972,그 밖의 대규모점포,,,대규모점포
군포시,힐스테이트 금정역 상업시설,20200605,,1,정상영업,,031-5175-1206,25366.05,15809,"경기도 군포시 엘에스로 143(금정동, 힐스테이트 금정역)",경기도 군포시 금정동 916 힐스테이트 금정역,15809,37.3728439924,126.9448505005,구분없음,,,대규모점포
군포시,LOTTE FITIN 산본점,2016-02-11,,1,정상영업,,02-2299-2684,17003.14,15866,경기도 군포시 번영로 485 (산본동),경기도 군포시 산본동 1145-6번지,15866,37.3577955365,126.9306318579,쇼핑센터,193789.410732019    ,428419.578316283    ,대규모점포
군포시,디퍼의류타운,20061002,,1,정상영업,,031-391-4589,6867,435045,경기도 군포시 산본천로 99 (산본동),경기도 군포시 산본동 1096번지 2호,15818,37.3633074,126.9325674,그 밖의 대규모점포,193959.422006292    ,429040.455261927    ,대규모점포
군포시,홈플러스(주)익스프레스 군포수리산역점,2011-01-01,,1,정상영업,,031-398-8545,264,15870,"경기도 군포시 번영로 380-1, 한라1차아파트 상가 상가동 110호 (산본동)",경기도 군포시 산본동 1156번지 8호 한라1차아파트 상가,15870,37.3494827709,126.9264719143,구분없음,193415.086927879    ,427497.390218597    ,준대규모점포
