시군명,사업장명,소재지우편번호,소재지도로명주소,소재지지번주소,인허가일자,영업상태명,폐업일자,의료기관종별명,병상수(개),의료인수(명),입원실수(개),진료과목내용,연면적(㎡),WGS84위도,WGS84경도
수원시,의료법인 송설의료재단 수원백병원,16261,경기도 수원시 팔달구 정조로 793 (팔달로2가),경기도 수원시 팔달구 팔달로2가 95,1982-01-10,영업/정상,,,47,8,20,내과,2752.08,37.2790348844,127.0162220005
수원시,우리병원,16480,경기도 수원시 팔달구 경수대로 419 (인계동),경기도 수원시 팔달구 인계동 1014번지,2008-03-06,영업/정상,,,54,20,13,"정형외과, 신경외과",1909.71,37.2637103008,127.0249025553
수원시,다인병원,16221,"경기도 수원시 장안구 창룡대로 159, 다인병원 (연무동)",경기도 수원시 장안구 연무동 260-20 다인병원,2013-06-14,영업/정상,,,98,47,26,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",6277.19,37.2919253556,127.0275231622
수원시,김찬병원,16489,"경기도 수원시 팔달구 경수대로 450, 3~13층 (인계동)",경기도 수원시 팔달구 인계동 1017-6,2014-06-24,영업/정상,,,152,30,50,"내과, 신경과, 정형외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 영상의학과, 재활의학과",5953.95,37.2661609217,127.0268608636
수원시,수병원,16249,경기도 수원시 팔달구 경수대로 613 (지동),경기도 수원시 팔달구 지동 481번지 4호,2015-01-13,영업/정상,,,99,57,24,"내과, 정형외과, 성형외과, 영상의학과",4035.48,37.2803157854,127.0298743879
수원시,수원대항병원,16566,경기도 수원시 권선구 권선로 678 (권선동),경기도 수원시 권선구 권선동 1030번지 5호,2004-07-06,폐업,2018-05-31,,35,2,16,"내과, 외과",1864.58,37.2593307636,127.0252119962
수원시,수원성모병원,16270,경기도 수원시 장안구 팔달로 235 (영화동),"경기도 수원시 장안구 영화동 436~8,9,10",1980-02-14,폐업,2017-03-29,,148,5,22,"내과, 외과, 정형외과, 신경외과, 가정의학과",3080,37.2877384701,127.0108978134
수원시,수원연생병원,16565,경기도 수원시 권선구 장다리로 94,경기도 수원시 권선구 권선동  987-3(1~5층),2006-04-17,폐업,2007-08-31,,58,5,0,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",1232.36,37.2585411487,127.0216308124
수원시,대한민국주석병원,16221,경기도 수원시 장안구 창룡대로 159 (연무동),경기도 수원시 장안구 연무동 260번지 20호,2009-11-02,폐업,2015-10-12,,117,10,33,"내과, 정형외과, 신경외과, 소아청소년과, 가정의학과",6386.78,37.2919253556,127.0275231622
수원시,수원한국병원,16304,경기도 수원시 장안구 경수대로 969 (송죽동),경기도 수원시 장안구 송죽동 495-4번지,1998-02-12,폐업,2022-02-10,,65,19,17,"내과, 정형외과, 영상의학과, 재활의학과",2766.7,37.3039378838,127.0047447266
수원시,바로본병원,16305,경기도 수원시 장안구 경수대로 937 (송죽동),경기도 수원시 장안구 송죽동 499번지,2012-09-17,폐업,2024-04-03,,31,11,8,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 병리과, 재활의학과",1562.64,37.3022097420,127.0075092770
수원시,수원우노병원,16565,경기도 수원시 권선구 장다리로 94 (권선동),경기도 수원시 권선구 권선동 987번지 3호,2011-11-14,폐업,2023-09-01,,60,5,15,"내과, 정신건강의학과, 소아청소년과, 이비인후과",1574.66,37.2585411487,127.0216308124
수원시,윈산부인과병원,16712,"경기도 수원시 영통구 봉영로1759번길 32 (영통동, 윈 산부인과)",경기도 수원시 영통구 영통동 946-2번지 윈 산부인과,2011-12-26,폐업,2023-06-01,,33,32,19,"마취통증의학과, 산부인과, 소아청소년과, 영상의학과",2855.78,37.2666895475,127.0810389781
수원시,서울제이에스병원,16393,"경기도 수원시 권선구 금곡로 206, 4,5층 (금곡동, 우성메디피아2)","경기도 수원시 권선구 금곡동 1117번지 우성메디피아2 4,5층",2014-10-17,폐업,2019-09-15,,99,26,21,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과",3163.38,37.2740336206,126.9543635944

