"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-10-20 ~ 2025-10-19"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 용인시 기흥구"
"읍면동 : 서천동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"11","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202507","18","300","40","4","2013","서그내로 52","202508~202608","신규","-","",""
"12","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","14.5300","202507","18","300","35","5","2013","서그내로 52","202507~202607","신규","-","",""
"13","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.8700","202507","11","4,000","52","8","2022","덕영대로 1698","202508~202608","신규","-","",""
"14","경기도 용인시 기흥구 서천동","279","0279","0000","1동","월세","56.8000","202506","30","500","90","2","2022","서그내로62번길 15","202508~202608","신규","-","",""
"15","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202506","24","4,000","57","8","2022","덕영대로 1698","202507~202607","신규","-","",""
"16","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202506","24","4,000","55","7","2022","덕영대로 1698","202507~202607","신규","-","",""
"17","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202506","23","300","40","5","2013","서그내로 52","202508~202608","신규","-","",""
"18","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202506","21","4,000","54","6","2022","덕영대로 1698","202506~202606","신규","-","",""
"19","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.9000","202506","20","4,000","47","7","2022","덕영대로 1698","202506~202606","갱신","-","4,000","47"
"20","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202506","14","2,000","65","7","2022","덕영대로 1698","202507~202607","신규","-","",""
"21","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.7800","202506","06","1,000","70","7","2022","덕영대로 1698","202506~202606","신규","-","",""
"22","경기도 용인시 기흥구 서천동","399-1","0399","0001","서천더캐슬","전세","29.2100","202505","31","15,000","0","4","2023","서그내로53번길 40-1","202507~202707","신규","-","",""
"23","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.9300","202505","29","4,000","49","8","2022","덕영대로 1698","202507~202607","신규","-","",""
"24","경기도 용인시 기흥구 서천동","279","0279","0000","1동","월세","80.2700","202505","12","500","65","5","2022","서그내로62번길 15","202506~202606","신규","-","",""
"25","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202504","26","300","40","5","2013","서그내로 52","202505~202605","신규","-","",""
"26","경기도 용인시 기흥구 서천동","399-1","0399","0001","서천더캐슬","전세","58.3100","202504","21","19,000","0","3","2023","서그내로53번길 40-1","202506~202706","신규","-","",""
"27","경기도 용인시 기흥구 서천동","399-1","0399","0001","서천더캐슬","전세","47.7400","202504","03","20,000","0","4","2023","서그내로53번길 40-1","202506~202706","신규","-","",""
"28","경기도 용인시 기흥구 서천동","265-14","0265","0014","(265-14)","전세","64.6600","202503","31","20,000","0","4","2022","서그내로 63","202505~202705","신규","-","",""
"29","경기도 용인시 기흥구 서천동","265-14","0265","0014","(265-14)","전세","28.1100","202503","22","15,500","0","4","2022","서그내로 63","202505~202705","신규","-","",""
"30","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.7800","202502","28","4,000","59","8","2022","덕영대로 1698","202502~202602","신규","-","",""
"31","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.8700","202502","28","2,000","58","6","2022","덕영대로 1698","202502~202602","신규","-","",""
"32","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202502","25","4,000","54","6","2022","덕영대로 1698","202502~202602","신규","-","",""
"33","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.7800","202502","22","4,000","56","6","2022","덕영대로 1698","202502~202602","신규","-","",""
"34","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202502","19","300","40","5","2013","서그내로 52","202502~202602","신규","-","",""
"35","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202502","18","300","45","3","2013","서그내로 52","202502~202508","신규","-","",""
"36","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6900","202502","14","300","37","6","2013","서그내로 52","202502~202602","신규","-","",""
"37","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202502","14","300","40","6","2013","서그내로 52","202502~202602","신규","-","",""
"38","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202502","14","300","40","3","2013","서그내로 52","202502~202602","신규","-","",""
"39","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202502","14","300","40","4","2013","서그내로 52","202502~202602","신규","-","",""
"40","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202502","13","300","40","3","2013","서그내로 52","202502~202602","신규","-","",""
"41","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202502","13","300","40","2","2013","서그내로 52","202502~202602","신규","-","",""
"42","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202502","12","300","35","3","2013","서그내로 52","202502~202602","신규","-","",""
"43","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202502","08","4,000","55","8","2022","덕영대로 1698","202502~202602","신규","-","",""
"44","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202502","07","300","40","4","2013","서그내로 52","202502~202602","신규","-","",""
"45","경기도 용인시 기흥구 서천동","373-14","0373","0014","시우하이빌","전세","47.7300","202502","07","18,000","0","2","2024","예현로35번길 32","202503~202703","신규","-","",""
"46","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","전세","13.6200","202502","05","4,500","0","2","2013","서그내로 52","202502~202602","신규","-","",""
"47","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202502","04","300","40","5","2013","서그내로 52","202502~202602","신규","-","",""
"48","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202502","03","4,000","59","7","2022","덕영대로 1698","202502~202602","신규","-","",""
"49","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202501","31","300","40","2","2013","서그내로 52","202501~202601","신규","-","",""
"50","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8400","202501","23","4,000","61","5","2022","덕영대로 1698","202501~202601","신규","-","",""
"51","경기도 용인시 기흥구 서천동","279","0279","0000","1동","월세","57.8000","202501","21","500","105","2","2022","서그내로62번길 15","202502~202602","신규","-","",""
"52","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202501","20","300","40","2","2013","서그내로 52","202501~202601","신규","-","",""
"53","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202501","19","300","40","5","2013","서그내로 52","202501~202601","신규","-","",""
"54","경기도 용인시 기흥구 서천동","399-1","0399","0001","서천더캐슬","전세","52.9200","202501","18","19,000","0","3","2023","서그내로53번길 40-1","202502~202702","신규","-","",""
"55","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202501","18","300","39","6","2013","서그내로 52","202502~202602","신규","-","",""
"56","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.9000","202501","18","4,000","51","8","2022","덕영대로 1698","202501~202602","신규","-","",""
"57","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202501","14","4,000","56","7","2022","덕영대로 1698","202501~202601","신규","-","",""
"58","경기도 용인시 기흥구 서천동","399-1","0399","0001","서천더캐슬","월세","50.5600","202501","11","17,000","20","4","2023","서그내로53번길 40-1","202502~202702","신규","-","",""
"59","경기도 용인시 기흥구 서천동","265-14","0265","0014","(265-14)","전세","54.0300","202501","10","20,000","0","4","2022","서그내로 63","202503~202703","신규","-","",""
"60","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202501","06","4,000","62","5","2022","덕영대로 1698","202501~202601","신규","-","",""
"61","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.9000","202501","03","4,000","50","6","2022","덕영대로 1698","202501~202601","신규","-","",""
"62","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6900","202501","01","300","40","3","2013","서그내로 52","202502~202602","신규","-","",""
"63","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.9000","202412","28","4,000","52","5","2022","덕영대로 1698","202502~202602","신규","-","",""
"64","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202412","28","4,000","63","5","2022","덕영대로 1698","202502~202602","신규","-","",""
"65","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202412","27","500","35","5","2013","서그내로 52","202501~202601","신규","-","",""
"66","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.9000","202412","27","4,000","49","5","2022","덕영대로 1698","202502~202602","신규","-","",""
"67","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202412","26","4,000","57","8","2022","덕영대로 1698","202502~202602","신규","-","",""
"68","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8400","202412","22","4,000","66","5","2022","덕영대로 1698","202502~202602","신규","-","",""
"69","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8400","202412","21","4,000","59","8","2022","덕영대로 1698","202501~202601","신규","-","",""
"70","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202412","21","4,000","55","7","2022","덕영대로 1698","202502~202602","신규","-","",""
"71","경기도 용인시 기흥구 서천동","399-1","0399","0001","서천더캐슬","월세","27.5100","202412","20","8,000","30","3","2023","서그내로53번길 40-1","202502~202702","신규","-","",""
"72","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202412","20","4,000","55","8","2022","덕영대로 1698","202412~202602","신규","-","",""
"73","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.7800","202412","14","4,000","62","5","2022","덕영대로 1698","202501~202601","신규","-","",""
"74","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.9000","202412","14","4,000","54","5","2022","덕영대로 1698","202501~202601","신규","-","",""
"75","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202412","11","300","40","4","2013","서그내로 52","202501~202601","신규","-","",""
"76","경기도 용인시 기흥구 서천동","399-1","0399","0001","서천더캐슬","월세","27.5100","202412","11","8,000","30","3","2023","서그내로53번길 40-1","202501~202701","신규","-","",""
"77","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","13.6200","202412","09","300","40","3","2013","서그내로 52","202412~202512","신규","-","",""
"78","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202412","09","2,000","66","6","2022","덕영대로 1698","202501~202601","신규","-","",""
"79","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.9000","202412","09","2,000","57","5","2022","덕영대로 1698","202502~202602","신규","-","",""
"80","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202412","07","4,000","58","5","2022","덕영대로 1698","202412~202512","신규","-","",""
"81","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8400","202412","07","4,000","57","8","2022","덕영대로 1698","202502~202602","신규","-","",""
"82","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.8700","202412","06","2,000","59","7","2022","덕영대로 1698","202501~202601","신규","-","",""
"83","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202412","06","1,000","68","6","2022","덕영대로 1698","202412~202512","신규","-","",""
"84","경기도 용인시 기흥구 서천동","283","0283","0000","희망의도시","월세","14.5300","202412","05","300","40","2","2013","서그내로 52","202501~202601","신규","-","",""
"85","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.7800","202412","04","4,000","56","6","2022","덕영대로 1698","202502~202602","신규","-","",""
"86","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202411","30","4,000","54","6","2022","덕영대로 1698","202411~202511","신규","-","",""
"87","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.7800","202411","21","4,000","55","8","2022","덕영대로 1698","202501~202601","신규","-","",""
"88","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","18.9000","202411","21","4,000","49","5","2022","덕영대로 1698","202501~202601","신규","-","",""
"89","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202411","14","4,000","55","7","2022","덕영대로 1698","202501~202601","신규","-","",""
"90","경기도 용인시 기흥구 서천동","279","0279","0000","1동","월세","56.2000","202411","11","500","100","3","2022","서그내로62번길 15","202411~202511","신규","-","",""
"91","경기도 용인시 기흥구 서천동","399-1","0399","0001","서천더캐슬","월세","28.1300","202411","07","5,000","48","3","2023","서그내로53번길 40-1","202412~202612","신규","-","",""
"92","경기도 용인시 기흥구 서천동","7-6","0007","0006","스테이블경희","월세","20.8100","202411","06","4,000","55","7","2022","덕영대로 1698","202501~202601","신규","-","",""
"93","경기도 용인시 기흥구 서천동","399-1","0399","0001","서천더캐슬","전세","84.5100","202410","29","22,000","0","4","2023","서그내로53번길 40-1","202411~202611","신규","-","",""
