"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-10-20 ~ 2025-10-19"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 용인시 기흥구"
"읍면동 : 서천동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"11","경기도 용인시 기흥구 서천동","7**","12m미만","98.36","월세","202509","22","10,000","100","2016","서천동로21번길","202510~202710","신규","-","","","단독다가구"
"12","경기도 용인시 기흥구 서천동","7**","12m미만","45.00","월세","202509","22","1,000","70","2013","서천서로20번길","202509~202709","신규","-","","","단독다가구"
"13","경기도 용인시 기흥구 서천동","7**","12m미만","46.00","전세","202509","22","15,000","0","2014","서천동로43번길","-","-","-","","","단독다가구"
"14","경기도 용인시 기흥구 서천동","7**","12m미만","68.69","월세","202509","20","4,000","100","2016","서천동로21번길","202509~202709","갱신","-","3,000","100","단독다가구"
"15","경기도 용인시 기흥구 서천동","2**","8m미만","29.00","월세","202509","19","1,000","50","2016","서그내로53번길","202509~202609","신규","-","","","단독다가구"
"16","경기도 용인시 기흥구 서천동","7**","12m미만","48.00","월세","202509","17","1,000","75","2013","서천서로20번길","202509~202709","신규","-","","","단독다가구"
"17","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","전세","202509","16","13,200","0","2014","서천서로20번길","-","-","-","","","단독다가구"
"18","경기도 용인시 기흥구 서천동","7**","12m미만","60.00","월세","202509","13","1,000","90","2013","서천서로20번길","202511~202711","신규","-","","","단독다가구"
"19","경기도 용인시 기흥구 서천동","7**","12m미만","43.00","월세","202509","13","500","68","2015","서천서로12번길","202509~202609","신규","-","","","단독다가구"
"20","경기도 용인시 기흥구 서천동","7**","12m미만","33.00","월세","202509","10","1,000","60","2014","서천동로43번길","202510~202610","신규","-","","","단독다가구"
"21","경기도 용인시 기흥구 서천동","3**","25m미만","22.00","월세","202509","10","500","50","1996","서그내로16번길","202509~202609","신규","-","","","단독다가구"
"22","경기도 용인시 기흥구 서천동","7**","12m미만","52.80","월세","202509","09","5,000","50","2013","서천동로43번길","202509~202709","신규","-","","","단독다가구"
"23","경기도 용인시 기흥구 서천동","7**","12m미만","45.00","전세","202509","08","13,500","0","2014","서천동로43번길","202510~202710","갱신","사용","15,000","0","단독다가구"
"24","경기도 용인시 기흥구 서천동","2**","8m미만","53.65","월세","202509","08","14,000","15","2016","서그내로53번길","202510~202710","신규","-","","","단독다가구"
"25","경기도 용인시 기흥구 서천동","7**","12m미만","24.00","전세","202509","06","6,800","0","2014","서천동로43번길","202512~202712","신규","-","","","단독다가구"
"26","경기도 용인시 기흥구 서천동","3**","8m미만","22.00","월세","202509","03","300","42","2011","서그내로","202510~202608","신규","-","","","단독다가구"
"27","경기도 용인시 기흥구 서천동","3**","8m미만","22.00","월세","202509","03","300","42","2011","서그내로","202510~202608","신규","-","","","단독다가구"
"28","경기도 용인시 기흥구 서천동","7**","12m미만","53.00","월세","202509","03","1,000","80","2014","서천서로20번길","202509~202709","신규","-","","","단독다가구"
"29","경기도 용인시 기흥구 서천동","3**","25m미만","39.60","전세","202509","02","12,000","0","2017","예현로35번길","202509~202709","신규","-","","","단독다가구"
"30","경기도 용인시 기흥구 서천동","3**","12m미만","24.85","월세","202509","01","1,000","50","2021","서그내로53번길","202509~202609","신규","-","","","단독다가구"
"31","경기도 용인시 기흥구 서천동","2**","8m미만","20.00","월세","202509","01","300","40","2000","서그내로","202509~202608","신규","-","","","단독다가구"
"32","경기도 용인시 기흥구 서천동","7**","12m미만","29.70","월세","202508","30","1,000","50","2013","서천동로43번길","202508~202608","신규","-","","","단독다가구"
"33","경기도 용인시 기흥구 서천동","7**","12m미만","51.95","전세","202508","30","14,000","0","2014","서천동로43번길","202510~202709","신규","-","","","단독다가구"
"34","경기도 용인시 기흥구 서천동","3**","25m미만","20.00","월세","202508","30","300","40","1999","서그내로","202509~202602","신규","-","","","단독다가구"
"35","경기도 용인시 기흥구 서천동","7**","12m미만","33.00","월세","202508","30","1,000","60","2014","서천동로43번길","202509~202609","신규","-","","","단독다가구"
"36","경기도 용인시 기흥구 서천동","7**","12m미만","48.00","월세","202508","29","1,000","90","2014","서천서로12번길","202509~202709","신규","-","","","단독다가구"
"37","경기도 용인시 기흥구 서천동","4**","8m미만","26.00","월세","202508","26","300","40","1998","서그내로62번길","202508~202608","신규","-","","","단독다가구"
"38","경기도 용인시 기흥구 서천동","3**","25m미만","22.00","월세","202508","25","500","47","1996","서그내로16번길","202508~202608","신규","-","","","단독다가구"
"39","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","월세","202508","25","1,000","83","2014","서천동로21번길","-","-","-","","","단독다가구"
"40","경기도 용인시 기흥구 서천동","7**","12m미만","40.00","월세","202508","20","1,000","62","2014","서천동로21번길","202508~202702","신규","-","","","단독다가구"
"41","경기도 용인시 기흥구 서천동","2**","25m미만","30.00","월세","202508","19","300","37","1997","서그내로","202508~202608","신규","-","","","단독다가구"
"42","경기도 용인시 기흥구 서천동","2**","8m미만","46.00","월세","202508","18","2,000","85","2016","서그내로49번길","202508~202708","신규","-","","","단독다가구"
"43","경기도 용인시 기흥구 서천동","7**","12m미만","46.00","전세","202508","18","15,000","0","2014","서천서로20번길","202509~202709","신규","-","","","단독다가구"
"44","경기도 용인시 기흥구 서천동","7**","12m미만","48.00","전세","202508","18","13,000","0","2014","서천서로12번길","202508~202708","신규","-","","","단독다가구"
"45","경기도 용인시 기흥구 서천동","4**","25m미만","42.04","월세","202508","18","1,000","58","2017","서그내로62번길","202509~202609","신규","-","","","단독다가구"
"46","경기도 용인시 기흥구 서천동","7**","12m미만","68.69","월세","202508","18","10,000","70","2016","서천동로21번길","202509~202709","신규","-","","","단독다가구"
"47","경기도 용인시 기흥구 서천동","7**","12m미만","23.10","월세","202508","15","500","53","2014","서천동로21번길","202508~202608","신규","-","","","단독다가구"
"48","경기도 용인시 기흥구 서천동","7**","12m미만","51.67","월세","202508","15","1,000","75","2014","서천서로12번길","202508~202708","신규","-","","","단독다가구"
"49","경기도 용인시 기흥구 서천동","3**","8m미만","22.00","월세","202508","14","300","38","2011","서그내로","202508~202608","신규","-","","","단독다가구"
"50","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","월세","202508","13","1,000","80","2013","서천동로21번길","202508~202608","신규","-","","","단독다가구"
"51","경기도 용인시 기흥구 서천동","7**","12m미만","45.00","월세","202508","13","1,000","75","2014","서천서로12번길","202508~202608","신규","-","","","단독다가구"
"52","경기도 용인시 기흥구 서천동","2**","25m미만","16.50","월세","202508","10","100","36","1996","서그내로16번길","202508~202608","신규","-","","","단독다가구"
"53","경기도 용인시 기흥구 서천동","2**","8m미만","24.00","월세","202508","08","300","40","1998","서그내로","202508~202608","신규","-","","","단독다가구"
"54","경기도 용인시 기흥구 서천동","3**","25m미만","39.70","월세","202508","07","2,000","75","2019","서그내로62번길","202509~202712","신규","-","","","단독다가구"
"55","경기도 용인시 기흥구 서천동","3**","25m미만","35.00","월세","202508","06","3,000","38","2019","서그내로62번길","202508~202608","신규","-","","","단독다가구"
"56","경기도 용인시 기흥구 서천동","7**","12m미만","21.00","월세","202508","06","5,000","36","2014","서천동로21번길","202508~202608","신규","-","","","단독다가구"
"57","경기도 용인시 기흥구 서천동","7**","12m미만","45.00","월세","202508","05","1,000","80","2014","서천서로12번길","202508~202608","신규","-","","","단독다가구"
"58","경기도 용인시 기흥구 서천동","2**","8m미만","26.40","월세","202508","04","500","50","1999","서그내로","202508~202702","신규","-","","","단독다가구"
"59","경기도 용인시 기흥구 서천동","7**","12m미만","42.90","전세","202508","02","14,000","0","2013","서천동로43번길","202508~202708","갱신","-","14,000","0","단독다가구"
"60","경기도 용인시 기흥구 서천동","7**","12m미만","33.00","월세","202507","31","1,000","50","2014","서천동로21번길","202507~202607","신규","-","","","단독다가구"
"61","경기도 용인시 기흥구 서천동","2**","25m미만","78.00","월세","202507","29","10,000","50","2016","서그내로","202509~202709","신규","-","","","단독다가구"
"62","경기도 용인시 기흥구 서천동","2**","8m미만","58.00","월세","202507","28","3,000","70","1997","서그내로16번길","202508~202608","신규","-","","","단독다가구"
"63","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","월세","202507","28","7,350","45","2014","서천동로21번길","202508~202708","신규","-","","","단독다가구"
"64","경기도 용인시 기흥구 서천동","7**","12m미만","34.00","월세","202507","26","1,000","60","2014","서천동로21번길","202508~202608","신규","-","","","단독다가구"
"65","경기도 용인시 기흥구 서천동","2**","8m미만","39.00","전세","202507","22","15,000","0","2016","서그내로53번길","202509~202709","신규","-","","","단독다가구"
"66","경기도 용인시 기흥구 서천동","7**","12m미만","42.90","월세","202507","21","1,000","70","2013","서천동로43번길","202507~202607","신규","-","","","단독다가구"
"67","경기도 용인시 기흥구 서천동","2**","8m미만","20.00","월세","202507","20","300","42","2016","서그내로53번길","202507~202607","신규","-","","","단독다가구"
"68","경기도 용인시 기흥구 서천동","2**","8m미만","25.00","월세","202507","20","300","50","1999","서그내로","202507~202607","신규","-","","","단독다가구"
"69","경기도 용인시 기흥구 서천동","7**","12m미만","30.00","전세","202507","19","11,000","0","2014","서천서로20번길","202508~202708","신규","-","","","단독다가구"
"70","경기도 용인시 기흥구 서천동","2**","8m미만","23.00","월세","202507","18","100","30","1998","서그내로","202507~202607","신규","-","","","단독다가구"
"71","경기도 용인시 기흥구 서천동","7**","12m미만","40.00","월세","202507","18","1,000","53","2014","서천동로43번길","202507~202607","신규","-","","","단독다가구"
"72","경기도 용인시 기흥구 서천동","3**","25m미만","26.00","월세","202507","17","300","32","1996","서그내로62번길","202508~202608","신규","-","","","단독다가구"
"73","경기도 용인시 기흥구 서천동","7**","12m미만","73.67","월세","202507","16","2,000","120","2016","서천동로21번길","202507~202707","갱신","-","3,000","100","단독다가구"
"74","경기도 용인시 기흥구 서천동","7**","12m미만","22.00","월세","202507","16","3,000","30","2013","서천동로43번길","202507~202707","신규","-","","","단독다가구"
"75","경기도 용인시 기흥구 서천동","3**","8m미만","23.10","월세","202507","15","500","30","2001","서그내로","202507~202607","신규","-","","","단독다가구"
"76","경기도 용인시 기흥구 서천동","2**","8m미만","20.00","월세","202507","14","500","41","","서그내로16번길","202507~202607","신규","-","","","단독다가구"
"77","경기도 용인시 기흥구 서천동","2**","8m미만","20.00","월세","202507","14","500","46","1995","서그내로53번길","202508~202608","신규","-","","","단독다가구"
"78","경기도 용인시 기흥구 서천동","7**","12m미만","35.00","전세","202507","12","11,500","0","2015","서천서로12번길","202509~202709","신규","-","","","단독다가구"
"79","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","월세","202507","12","1,000","80","2014","서천동로21번길","202508~202608","신규","-","","","단독다가구"
"80","경기도 용인시 기흥구 서천동","7**","12m미만","46.00","월세","202507","11","5,000","50","2015","서천서로20번길","202509~202701","신규","-","","","단독다가구"
"81","경기도 용인시 기흥구 서천동","3**","8m미만","25.00","월세","202507","10","300","43","2001","서그내로","202507~202607","신규","-","","","단독다가구"
"82","경기도 용인시 기흥구 서천동","7**","12m미만","42.90","월세","202507","09","1,000","65","2015","서천동로43번길","202507~202607","신규","-","","","단독다가구"
"83","경기도 용인시 기흥구 서천동","7**","12m미만","45.00","월세","202507","09","1,000","75","2014","서천서로20번길","202508~202702","신규","-","","","단독다가구"
"84","경기도 용인시 기흥구 서천동","2**","8m미만","40.00","월세","202507","08","1,000","60","1996","서그내로53번길","202508~202608","신규","-","","","단독다가구"
"85","경기도 용인시 기흥구 서천동","3**","25m미만","19.00","월세","202507","08","500","40","","예현로35번길","202507~202607","신규","-","","","단독다가구"
"86","경기도 용인시 기흥구 서천동","7**","12m미만","34.00","월세","202507","05","1,000","60","2014","서천동로21번길","202507~202607","신규","-","","","단독다가구"
"87","경기도 용인시 기흥구 서천동","3**","12m미만","15.00","월세","202507","05","300","32","1996","서그내로16번길","202508~202608","신규","-","","","단독다가구"
"88","경기도 용인시 기흥구 서천동","2**","8m미만","25.00","월세","202507","04","300","50","2000","서그내로","202507~202607","신규","-","","","단독다가구"
"89","경기도 용인시 기흥구 서천동","7**","12m미만","40.00","월세","202507","04","1,500","70","2014","서천동로43번길","202508~202608","신규","-","","","단독다가구"
"90","경기도 용인시 기흥구 서천동","2**","8m미만","25.00","월세","202507","04","300","50","2000","서그내로","202507~202607","신규","-","","","단독다가구"
"91","경기도 용인시 기흥구 서천동","3**","25m미만","25.00","월세","202507","04","500","45","1998","서그내로16번길","202507~202607","신규","-","","","단독다가구"
"92","경기도 용인시 기흥구 서천동","2**","8m미만","22.00","월세","202507","04","500","50","1999","서그내로","202508~202602","신규","-","","","단독다가구"
"93","경기도 용인시 기흥구 서천동","7**","12m미만","33.00","월세","202507","03","2,000","50","2014","서천동로21번길","202507~202701","신규","-","","","단독다가구"
"94","경기도 용인시 기흥구 서천동","7**","12m미만","35.00","전세","202507","02","11,000","0","","서천서로20번길","202507~202707","신규","-","","","단독다가구"
"95","경기도 용인시 기흥구 서천동","4**","8m미만","26.00","월세","202507","02","500","40","1998","서그내로62번길","202507~202607","신규","-","","","단독다가구"
"96","경기도 용인시 기흥구 서천동","7**","12m미만","23.10","월세","202507","02","500","50","2014","서천동로43번길","202507~202606","신규","-","","","단독다가구"
"97","경기도 용인시 기흥구 서천동","2**","8m미만","27.30","월세","202507","01","300","37","1996","서그내로53번길","202507~202607","신규","-","","","단독다가구"
"98","경기도 용인시 기흥구 서천동","7**","12m미만","26.40","월세","202506","30","600","48","2013","서천동로43번길","202508~202608","신규","-","","","단독다가구"
"99","경기도 용인시 기흥구 서천동","7**","12m미만","26.40","월세","202506","30","600","48","2013","서천동로43번길","202508~202608","신규","-","","","단독다가구"
"100","경기도 용인시 기흥구 서천동","2**","8m미만","22.00","월세","202506","28","1,000","52","2016","서그내로53번길","202507~202607","신규","-","","","단독다가구"
"101","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","전세","202506","28","14,000","0","2014","서천동로21번길","202507~202707","갱신","-","12,600","0","단독다가구"
"102","경기도 용인시 기흥구 서천동","7**","12m미만","42.90","월세","202506","28","1,000","55","2014","서천동로21번길","202508~202612","신규","-","","","단독다가구"
"103","경기도 용인시 기흥구 서천동","7**","12m미만","78.35","월세","202506","27","2,000","130","2015","서천동로21번길","202508~202708","신규","-","","","단독다가구"
"104","경기도 용인시 기흥구 서천동","3**","8m미만","33.00","월세","202506","27","500","50","2011","서그내로","202508~202608","신규","-","","","단독다가구"
"105","경기도 용인시 기흥구 서천동","4**","25m미만","57.00","전세","202506","25","16,000","0","2017","서그내로62번길","202507~202707","신규","-","","","단독다가구"
"106","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","월세","202506","23","5,000","45","2014","서천동로21번길","202507~202707","신규","-","","","단독다가구"
"107","경기도 용인시 기흥구 서천동","7**","12m미만","35.00","월세","202506","21","1,000","55","2013","서천서로20번길","202508~202608","신규","-","","","단독다가구"
"108","경기도 용인시 기흥구 서천동","7**","12m미만","40.00","월세","202506","21","1,000","60","2014","서천동로21번길","202508~202608","신규","-","","","단독다가구"
"109","경기도 용인시 기흥구 서천동","7**","12m미만","40.00","월세","202506","21","1,000","60","2014","서천동로21번길","202508~202608","신규","-","","","단독다가구"
"110","경기도 용인시 기흥구 서천동","7**","12m미만","52.00","전세","202506","21","15,000","0","2013","서천서로20번길","-","-","-","","","단독다가구"
"111","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","월세","202506","20","1,000","75","2014","서천동로21번길","202506~202606","신규","-","","","단독다가구"
"112","경기도 용인시 기흥구 서천동","7**","12m미만","48.00","월세","202506","20","500","70","2013","서천서로20번길","202507~202707","신규","-","","","단독다가구"
"113","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","월세","202506","20","1,000","75","2014","서천동로21번길","202506~202606","신규","-","","","단독다가구"
"114","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","월세","202506","19","700","80","2015","서천동로21번길","202508~202708","신규","-","","","단독다가구"
"115","경기도 용인시 기흥구 서천동","7**","12m미만","25.00","전세","202506","18","7,000","0","2013","서천동로43번길","202507~202607","갱신","-","6,500","0","단독다가구"
"116","경기도 용인시 기흥구 서천동","7**","12m미만","55.00","월세","202506","17","1,000","90","2014","서천동로43번길","202507~202707","신규","-","","","단독다가구"
"117","경기도 용인시 기흥구 서천동","2**","8m미만","20.00","월세","202506","17","300","42","2016","서그내로53번길","202506~202606","신규","-","","","단독다가구"
"118","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","전세","202506","16","11,500","0","2014","서천동로43번길","202507~202706","신규","-","","","단독다가구"
"119","경기도 용인시 기흥구 서천동","7**","12m미만","45.00","월세","202506","16","3,000","50","2013","서천서로20번길","202507~202702","신규","-","","","단독다가구"
"120","경기도 용인시 기흥구 서천동","7**","12m미만","23.10","월세","202506","16","500","50","2014","서천동로43번길","202507~202707","신규","-","","","단독다가구"
"121","경기도 용인시 기흥구 서천동","7**","12m미만","49.50","전세","202506","16","15,000","0","2014","서천동로21번길","202508~202708","신규","-","","","단독다가구"
"122","경기도 용인시 기흥구 서천동","7**","12m미만","25.00","월세","202506","13","1,000","60","2014","서천동로21번길","202507~202607","신규","-","","","단독다가구"
"123","경기도 용인시 기흥구 서천동","7**","12m미만","25.00","월세","202506","13","1,000","60","2014","서천동로21번길","-","-","-","","","단독다가구"
"124","경기도 용인시 기흥구 서천동","3**","8m미만","22.00","월세","202506","13","300","38","","서그내로","202507~202607","신규","-","","","단독다가구"
"125","경기도 용인시 기흥구 서천동","2**","8m미만","25.00","월세","202506","11","500","46","1995","서그내로53번길","202506~202606","신규","-","","","단독다가구"
"126","경기도 용인시 기흥구 서천동","3**","25m미만","20.00","월세","202506","11","300","40","1999","서그내로","202508~202608","신규","-","","","단독다가구"
"127","경기도 용인시 기흥구 서천동","3**","8m미만","24.00","월세","202506","10","500","46","2000","서그내로","202508~202607","신규","-","","","단독다가구"
"128","경기도 용인시 기흥구 서천동","7**","12m미만","46.00","월세","202506","10","1,000","75","2013","서천서로12번길","202507~202707","신규","-","","","단독다가구"
"129","경기도 용인시 기흥구 서천동","3**","25m미만","20.00","월세","202506","10","300","40","1999","서그내로","202508~202608","신규","-","","","단독다가구"
"130","경기도 용인시 기흥구 서천동","3**","8m미만","28.00","월세","202506","09","300","43","2001","서그내로","202506~202607","신규","-","","","단독다가구"
"131","경기도 용인시 기흥구 서천동","2**","8m미만","22.00","월세","202506","09","500","49","1999","서그내로","202507~202607","신규","-","","","단독다가구"
"132","경기도 용인시 기흥구 서천동","2**","8m미만","26.40","월세","202506","05","300","50","2000","서그내로","202507~202607","신규","-","","","단독다가구"
"133","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","월세","202506","04","700","60","2014","서천동로21번길","202506~202706","갱신","-","500","60","단독다가구"
"134","경기도 용인시 기흥구 서천동","2**","8m미만","46.00","월세","202506","02","2,000","70","2016","서그내로53번길","202507~202707","신규","-","","","단독다가구"
"135","경기도 용인시 기흥구 서천동","2**","25m미만","21.63","전세","202506","01","8,000","0","2001","서그내로","202506~202706","신규","-","","","단독다가구"
"136","경기도 용인시 기흥구 서천동","3**","8m미만","24.00","월세","202505","30","500","46","2000","서그내로","202507~202607","신규","-","","","단독다가구"
"137","경기도 용인시 기흥구 서천동","7**","12m미만","38.21","월세","202505","30","1,000","75","2015","서천동로43번길","202505~202605","신규","-","","","단독다가구"
"138","경기도 용인시 기흥구 서천동","2**","8m미만","22.00","월세","202505","29","500","50","","서그내로","202507~202607","신규","-","","","단독다가구"
"139","경기도 용인시 기흥구 서천동","3**","25m미만","20.00","월세","202505","28","300","40","1999","서그내로","202508~202608","신규","-","","","단독다가구"
"140","경기도 용인시 기흥구 서천동","2**","8m미만","30.00","월세","202505","26","1,000","65","2018","서그내로53번길","202506~202605","신규","-","","","단독다가구"
"141","경기도 용인시 기흥구 서천동","2**","8m미만","25.00","월세","202505","24","300","37","1996","서그내로53번길","202505~202605","신규","-","","","단독다가구"
"142","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","월세","202505","23","1,000","80","2013","서천서로20번길","202505~202705","신규","-","","","단독다가구"
"143","경기도 용인시 기흥구 서천동","7**","12m미만","31.98","월세","202505","23","1,000","58","2013","서천서로20번길","202507~202606","신규","-","","","단독다가구"
"144","경기도 용인시 기흥구 서천동","3**","25m미만","20.00","월세","202505","22","300","40","1999","서그내로","202507~202607","신규","-","","","단독다가구"
"145","경기도 용인시 기흥구 서천동","3**","25m미만","19.80","월세","202505","22","350","50","2019","서그내로62번길","202506~202705","신규","-","","","단독다가구"
"146","경기도 용인시 기흥구 서천동","3**","12m미만","15.00","월세","202505","20","300","35","1996","서그내로16번길","202506~202606","신규","-","","","단독다가구"
"147","경기도 용인시 기흥구 서천동","2**","8m미만","25.00","월세","202505","20","500","45","1995","서그내로53번길","202505~202605","신규","-","","","단독다가구"
"148","경기도 용인시 기흥구 서천동","3**","25m미만","42.90","월세","202505","20","5,000","60","2017","예현로35번길","202505~202605","신규","-","","","단독다가구"
"149","경기도 용인시 기흥구 서천동","3**","25m미만","53.25","월세","202505","19","10,000","25","2019","서그내로62번길","202506~202706","신규","-","","","단독다가구"
"150","경기도 용인시 기흥구 서천동","3**","25m미만","53.25","월세","202505","19","10,000","25","2019","서그내로62번길","202506~202706","신규","-","","","단독다가구"
"151","경기도 용인시 기흥구 서천동","7**","12m미만","30.00","월세","202505","17","1,000","60","2014","서천서로20번길","202506~202606","신규","-","","","단독다가구"
"152","경기도 용인시 기흥구 서천동","7**","12m미만","98.34","월세","202505","17","1,000","115","2016","서천동로21번길","202505~202705","갱신","사용","1,000","110","단독다가구"
"153","경기도 용인시 기흥구 서천동","7**","12m미만","40.00","전세","202505","15","12,000","0","2015","서천동로43번길","202507~202707","신규","-","","","단독다가구"
"154","경기도 용인시 기흥구 서천동","7**","12m미만","52.00","전세","202505","15","16,000","0","2014","서천서로12번길","202507~202707","신규","-","","","단독다가구"
"155","경기도 용인시 기흥구 서천동","2**","8m미만","20.74","월세","202505","14","300","41","2000","서그내로","202507~202607","신규","-","","","단독다가구"
"156","경기도 용인시 기흥구 서천동","3**","25m미만","22.00","월세","202505","14","300","40","1999","서그내로","202506~202606","신규","-","","","단독다가구"
"157","경기도 용인시 기흥구 서천동","3**","12m미만","45.00","전세","202505","10","15,000","0","2017","서그내로16번길","202506~202706","신규","-","","","단독다가구"
"158","경기도 용인시 기흥구 서천동","4**","25m미만","42.04","월세","202505","10","1,000","58","2017","서그내로62번길","202507~202707","신규","-","","","단독다가구"
"159","경기도 용인시 기흥구 서천동","3**","12m미만","45.00","전세","202505","10","15,000","0","2017","서그내로16번길","-","-","-","","","단독다가구"
"160","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","전세","202505","09","14,000","0","2014","서천동로21번길","202409~202609","신규","-","","","단독다가구"
"161","경기도 용인시 기흥구 서천동","7**","12m미만","50.00","전세","202505","09","13,000","0","2014","서천서로12번길","202505~202705","신규","-","","","단독다가구"
"162","경기도 용인시 기흥구 서천동","7**","12m미만","78.35","월세","202505","07","2,000","130","2015","서천동로21번길","202506~202706","신규","-","","","단독다가구"
"163","경기도 용인시 기흥구 서천동","7**","12m미만","25.00","월세","202505","02","7,000","10","2014","서천동로21번길","-","-","-","","","단독다가구"
"164","경기도 용인시 기흥구 서천동","7**","12m미만","25.00","월세","202505","02","7,000","10","2014","서천동로21번길","202507~202707","신규","-","","","단독다가구"
"165","경기도 용인시 기흥구 서천동","7**","12m미만","23.00","월세","202505","01","2,000","50","2014","서천서로20번길","202505~202605","신규","-","","","단독다가구"
"166","경기도 용인시 기흥구 서천동","3**","8m미만","21.25","월세","202504","30","300","41","2000","서그내로","202505~202601","신규","-","","","단독다가구"
"167","경기도 용인시 기흥구 서천동","7**","12m미만","22.00","월세","202504","28","500","45","2014","서천동로43번길","202505~202605","신규","-","","","단독다가구"
"168","경기도 용인시 기흥구 서천동","2**","8m미만","37.00","월세","202504","25","10,000","25","2015","서그내로53번길","202506~202706","신규","-","","","단독다가구"
"169","경기도 용인시 기흥구 서천동","7**","12m미만","46.00","월세","202504","23","1,000","68","2013","서천서로20번길","202504~202704","신규","-","","","단독다가구"
